mid,tid,nama_merchant,peruntukkan,jenis,kanwil_no_rek,uker_no_rek,no_rek,cur_balance,kanwil_pemrakarsa,kanwil_nama_pemrakarsa,uker_pemrakarsa,uker_nama_pemrakarsa,user_pemrakarsa,kanwil_implementor,kanwil_nama_implementor,uker_implementor,uker_nama_implementor,group_code,group_name,sub_group_code,sub_group_name,last_available,status_available,last_utility,status_utility,last_transactional,status_transactional,is_mms,is_md_mms,longitude,latitude,sn_edc,merk_edc,versi_app,versi_app_mapped,status_reliability_pemrakarsa,status_reliability_implementor,alamat_merchant,kelurahan,kecamatan,kabupaten,provinsi,kodepos,pic,telp,tgl_pasang,last_pm_date,amt
001999107030,10406191,"JAZZ MART",MERCHANT,RITEL,X,175,01750103XXXXXX,,X,"KANWIL PEKANBARU",175,"KC Tembilahan","00305650|ROY ARLANDO SARAGIH",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-01 22:06:12",2,"2025-10-01 15:22:27",2,"2025-10-01 15:22:27",2,1,1,,,,,,,,,"JL PROF M YAMIN","TEMBILAHAN HILIR KEL",TEMBILAHAN,"INDRAGIRI HILIR KAB.",RIAU,29211,SUSANTO,08528XXXXXX,,"2025-09-03 08:28:19",6
001999107031,10406192,"TOKO JAJADAM",MERCHANT,RITEL,X,2115,21150100XXXXXX,,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00339965|JONI PRANATA",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-25 11:28:52",2,"2025-09-25 11:28:52",2,"2025-09-25 11:28:52",2,1,1,,,,,,,,,"PLAZA SUKARAMAI","PADANG BULAN KEL",SENAPELAN,"PEKANBARU KOT.",RIAU,28156,"JONI / JOLEAN",085378589987/08228XXXXXX,2023-05-26,"2025-09-06 16:32:33",6
001999107619,10496345,"HOTEL MUTIARA KANDIS",MERCHANT,"FMS RITEL",X,2026,20260100XXXXXX,,X,"KANWIL PEKANBARU",560,"KC Duri","00282364|ISWANDI ",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-09-29 12:51:03",2,"2025-09-25 15:31:41",2,"2025-06-26 13:54:28",5,1,1,,,,,,,,,"JL. RAYA PKU-DURI KM72","DS/KEL LAINNYA",KANDIS,"SIAK KAB.",RIAU,28686,MASRIL,08117698556/0811XXXXXX,2020-09-15,"2025-09-25 15:30:05",6
001999108111,10316136,"CHRISTIAN ANDRIE CAFE",MERCHANT,RITEL,X,170,01700100XXXXXX,132957706.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00286466|LIA HANDAYANI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-30 10:10:03",2,"2025-09-29 22:10:15",2,"2025-09-29 22:10:15",2,1,1,,,,,,,,,"JALAN RIAU NO. 51","PADANG TERUBUK KEL",SENAPELAN,"PEKANBARU KOT.",RIAU,28155,"ANDRIE DJAJA",08127532929/0812XXXXXX,,"2025-09-09 12:43:31",6
001999108368,10461458,"TASNIEM GERAI INSPIRASI BT AJI",MERCHANT,RITEL,X,331,03310100XXXXXX,,X,"KANWIL PEKANBARU",331,"KC Batam Nagoya","00248809|MIFTAHUR RIZKY INDRA",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-02 06:49:07",1,"2025-09-28 09:21:06",2,"2025-09-28 09:21:06",2,1,1,,,,,,,,,"PERTOKOAN MITRA MALL BATU AJI","BATU AJI KEL.","SUNGAI BEDUK","BATAM KOT.","KEPULAUAN RIAU",29438,ROBBY,08217XXXXXX,,"2025-09-09 11:56:07",6
001999108464,10497125,"KSP SEJAHTERA USAHA MANDIRI",MERCHANT,RITEL,X,1571,15710100XXXXXX,,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00286466|LIA HANDAYANI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 10:39:52",2,"2025-10-01 10:39:52",2,"2025-10-01 10:39:52",2,1,1,,,,,,,,,"JL INPRES NO 100 B","SIDOMULYO KEL",TAMPAN,"PEKANBARU KOT.",RIAU,28294,"SURANTO TONDANG",08131XXXXXX,,"2025-09-18 14:10:58",6
001999108465,10497126,"PT CITA AGUNG JAYA",MERCHANT,RITEL,X,1462,14620100XXXXXX,,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00339965|JONI PRANATA",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-30 18:27:22",2,"2025-09-29 19:31:16",2,"2025-09-29 19:31:16",2,1,1,,,,,,,,,"JL SOEKARNO HATTA NO 9E","SIDOMULYO KEL",TAMPAN,"PEKANBARU KOT.",RIAU,28294,"LANI CAHYASARI",0812XXXXXX,2023-05-29,"2025-09-25 12:43:56",6
001999108699,10622213,"GALAXY GROSIR MODERN",MERCHANT,RITEL,X,2115,21150101XXXXXX,,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00286466|LIA HANDAYANI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 17:53:34",2,"2025-10-01 17:53:11",2,"2025-10-01 17:53:11",2,1,1,,,,,,,,,"JALAN BUKIT BARISAN","TANGKERANG SELATAN KEL","BUKIT RAYA","PEKANBARU KOT.",RIAU,28288,WISONO,085265493893/08526XXXXXX,,"2025-09-07 14:12:48",6
001999109557,10671355,GARDU,MERCHANT,RITEL,X,1770,17700100XXXXXX,,X,"KANWIL PEKANBARU",696,"KC Pekanbaru Tuanku Tambusai","00323449|SALMI HAYATI ",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-30 15:33:05",2,"2025-09-30 15:33:05",2,"2025-09-30 15:33:05",2,1,1,,,,,,,,,"JL PAUS NO 05","WONOREJO KEL",SUKAJADI,"PEKANBARU KOT.",RIAU,28125,"SALMAN ALVARISI",08217XXXXXX,,"2025-09-12 12:32:28",6
001999109583,10671128,"PUTRA SOLO PET SHOP",MERCHANT,RITEL,X,2280,22800100XXXXXX,,X,"KANWIL PEKANBARU",331,"KC Batam Nagoya","00227800|YONA WULANDARI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 21:20:01",2,"2025-10-01 16:49:12",2,"2025-10-01 16:49:12",2,1,1,,,,,,,,,"RUKO ALADIN BLOK B NO 1","BELIAN KEL.",NONGSA,"BATAM KOT.","KEPULAUAN RIAU",29464,KIKI,08529XXXXXX,,"2025-09-03 14:14:20",6
001999109782,10677194,"TOKO UTAMA MANDIRI II",MERCHANT,"FMS RITEL",X,621,06210100XXXXXX,,X,"KANWIL PEKANBARU",621,"KC Batam Center","00283711|PONCO RINALDO ",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 17:05:57",2,"2025-10-01 11:09:02",2,"2025-10-01 11:09:02",2,1,1,,,,,,,,,"BUKIT AYU LESTARI BLOK C NO 1","TANJUNG PIAYU KEL.","SUNGAI BEDUK","BATAM KOT.","KEPULAUAN RIAU",29437,JONNY,081364781165/08136XXXXXX,,"2025-09-26 15:36:15",6
001999109977,10677265,"TOKO MAS BENUA",MERCHANT,RITEL,X,159,01590100XXXXXX,,X,"KANWIL PEKANBARU",159,"KC Dumai","00281470|ANGGIA ADISTI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-02 00:00:26",1,"2025-09-18 16:46:19",3,"2025-09-18 16:46:19",3,1,1,,,,,,,,,"JL. SULTAN SYARIF KASIM","DUMAI KOTA KEL","DUMAI TIMUR","DUMAI KOT.",RIAU,28811,ONITIRA,081378823036/08137XXXXXX,,"2025-09-03 16:00:23",6
001999110012,10900088,"V3 CELLULAR",MERCHANT,RITEL,X,560,05600105XXXXXX,,X,"KANWIL PEKANBARU",560,"KC Duri","00292325|FAJAR DANU MAHENDRA ",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-01 21:55:32",2,"2025-09-30 09:47:08",2,"2025-09-30 09:47:08",2,1,1,,,,,,,,,"JL. SUDIRMAN  KEL. AIR JAMBAN","DS/KEL LAINNYA",MANDAU,"BENGKALIS KAB.",RIAU,28784,"RIKO ANTONI",08121867788/0812XXXXXX,2020-11-17,"2025-09-03 15:09:16",6
001999111212,10946689,"TOKO GLOBAL STAR",MERCHANT,"FMS RITEL",X,2117,21170177XXXXXX,11643186.03,X,"KANWIL PEKANBARU",331,"KC Batam Nagoya","00212110|ADE CHANDRA",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 22:42:00",2,"2025-10-01 22:40:54",2,"2025-10-01 22:40:54",2,1,1,,,,,,,,,"RUKO RANANTA RESIDENCE A/3","BALOI PERMAI KEL.",NONGSA,"BATAM KOT.","KEPULAUAN RIAU",29463,ARIANTO,081270038833/08127XXXXXX,2022-01-01,"2025-09-11 10:00:16",6
001999113231,10339425,"BQ BREAD BOUTIQUE MP",MERCHANT,RITEL,X,170,01700100XXXXXX,132957706.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00339965|JONI PRANATA",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 21:48:48",2,"2025-09-29 19:20:25",2,"2025-09-29 19:20:25",2,1,1,,,,,,,,,"MALL PEKANBARY LT DASAR","PADANG TERUBUK KEL",SENAPELAN,"PEKANBARU KOT.",RIAU,28155,"ANDRIE DJAJA",0812XXXXXX,,"2025-09-18 14:16:26",6
001999113359,10339586,"TOKO MAS MEKAR INDAH",MERCHANT,RITEL,X,1602,16020100XXXXXX,,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00288795|LADY FEBRIANTY R",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-01 14:10:03",2,"2025-10-01 14:09:19",2,"2025-10-01 14:09:19",2,1,1,,,,,,,,,"JALAN SOEKARNO HATTA NO 676","TAMPAN DS",TAMPAN,"PEKANBARU KOT.",RIAU,28292,"ADI S.G DARMAWI",082385938594/08238XXXXXX,,"2025-09-27 18:17:15",6
001999113360,10339587,"TOKO EMAS DEWATA",MERCHANT,RITEL,X,170,01700109XXXXXX,,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00182257|ZULFAHRI NAIM",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-28 15:58:07",2,"2025-09-28 15:57:03",2,"2025-09-28 15:57:03",2,1,1,,,,,,,,,"SUKARAMAI TRADE CENTER","SUKARAMAI KEL","PEKANBARU KOTA","PEKANBARU KOT.",RIAU,28113,LUKMAN,0811760535/081XXXXXX,,"2025-09-03 17:26:07",6
001999114078,10884242,"TOKO MAS SINGGALANG",MERCHANT,RITEL,X,2214,22140100XXXXXX,,X,"KANWIL PEKANBARU",175,"KC Tembilahan","00344960|BUDI KURNIAWAN SAPUTRA",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-02 03:31:16",1,"2025-09-18 13:12:38",3,"2025-08-30 16:25:32",5,1,1,,,,,,,,,"JALAN TENGKU UMAR","DS/KEL LAINNYA",KATEMAN,"INDRAGIRI HILIR KAB.",RIAU,29255,"ALMOMERI DARWIN",0812XXXXXX,2020-11-27,"2025-09-10 15:04:30",6
001999114630,11002280,"TOKO MAS BANDA BARU",MERCHANT,RITEL,X,331,03310100XXXXXX,22909903.00,X,"KANWIL PEKANBARU",331,"KC Batam Nagoya","00248809|MIFTAHUR RIZKY INDRA",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 17:08:34",2,"2025-09-30 16:41:08",2,"2025-09-30 16:41:08",2,1,1,,,,,,,,,"RUKO BOTANIA GARDEN THP IV","BELIAN KEL.",NONGSA,"BATAM KOT.","KEPULAUAN RIAU",29464,"ELGA HELIA PUTRI",077877114630778454755/07787711463077XXXXXX,2023-06-30,"2025-09-01 17:26:23",6
001999114633,11002286,"BIDAN VERANIKA",MERCHANT,"FMS RITEL",X,2026,20260100XXXXXX,,X,"KANWIL PEKANBARU",560,"KC Duri","00282364|ISWANDI ",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-09-30 03:45:04",2,"2025-09-25 07:53:43",2,"2025-09-25 07:53:43",2,1,1,,,,,,,,,"JL. PENCING LESTARI","DS/KEL LAINNYA",KANDIS,"SIAK KAB.",RIAU,28686,"VERANIKA ADELINA",085271656994/08527XXXXXX,2020-11-02,"2025-09-22 15:16:47",6
001999115453,10330421,"WAREH KUPIE ARIFIN AHMAD",MERCHANT,RITEL,X,170,01700109XXXXXX,,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00339965|JONI PRANATA",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 21:52:05",2,"2025-10-01 21:51:34",2,"2025-10-01 21:51:34",2,1,1,,,,,,,,,"JL ARIFIN AHMAD","TANGKERANG SELATAN KEL","BUKIT RAYA","PEKANBARU KOT.",RIAU,28288,AFRIZAL,0812XXXXXX,2019-11-01,"2025-09-03 16:54:56",6
001999116191,10760509,"MITRA PONSEL",MERCHANT,RITEL,X,622,06220100XXXXXX,,X,"KANWIL PEKANBARU",622,"KC Pangkalan Kerinci","00283944|RAHAYU KUNTUM MELATI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-09-30 14:44:36",2,"2025-09-25 09:43:01",2,"2025-09-25 09:43:01",2,1,1,,,,,,,,,"BTN LAGO PERMAI","KERINCI KOTA KEL","PANGKALAN KERINCI","PELALAWAN KAB.",RIAU,28311,RAHAYU,08526XXXXXX,2020-12-27,"2025-09-20 14:55:25",6
001999117689,10860691,"TOKO MAS PACIFIC",MERCHANT,RITEL,X,159,01590106XXXXXX,,X,"KANWIL PEKANBARU",159,"KC Dumai","00299393|OKTAVIANTI YULIANDARI ",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-01 08:56:43",2,"2025-09-30 11:16:49",2,"2025-09-30 11:16:49",2,1,1,,,,,,,,,"JL. JEND SUDIRMAN NO. 333","SUKAJADI KEL","DUMAI TIMUR","DUMAI KOT.",RIAU,28812,"RAMADHANA GATRA PRAJA",08136XXXXXX,,"2025-09-24 11:02:28",6
001999119210,10369535,"STANLEY'S PATTISERIE",MERCHANT,RITEL,X,2147,21470100XXXXXX,,X,"KANWIL PEKANBARU",174,"KC Tanjung Pinang","00283206|ANDREAS NOVHENDRA",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-09-26 10:49:00",2,"2025-09-18 15:54:03",3,"2025-09-11 09:37:02",4,1,1,,,,,,,,,"JL TUGU PAHLAWAN NO 10B","TANJUNG PINANG KOTA KEL.","TANJUNG PINANG BARAT","TANJUNG PINANG KOT.","KEPULAUAN RIAU",29111,SUCIPTO,08226XXXXXX,,"2025-09-18 15:51:32",6
001999119775,11011522,"LYS TOUR & TRAVEL",MERCHANT,RITEL,X,331,03310100XXXXXX,1046428.00,X,"KANWIL PEKANBARU",331,"KC Batam Nagoya","00285695|KAMIJUMAHIR DESI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 14:50:41",2,"2025-10-01 14:50:41",2,"2025-09-24 11:20:08",3,1,1,,,,,,,,,"RUKO YP BLOK E NO 3","BATU AJI KEL.","SUNGAI BEDUK","BATAM KOT.","KEPULAUAN RIAU",29438,SUHENDI,08525XXXXXX,,"2025-10-01 14:46:55",6
001999120841,11013342,"VIENNA COFFEE",MERCHANT,RITEL,X,2264,22640100XXXXXX,20580799.40,X,"KANWIL PEKANBARU",159,"KC Dumai","00299393|OKTAVIANTI YULIANDARI ",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-01 21:58:01",2,"2025-10-01 21:58:01",2,"2025-10-01 21:58:01",2,1,1,,,,,,,,,"JL. NANGKA","RIMBA SEKAMPUNG KEL","DUMAI BARAT","DUMAI KOT.",RIAU,28822,ONITIRA,085271738888/08527XXXXXX,,"2025-09-30 14:12:09",6
001999121306,11014034,"BITPRO COMPUTER",MERCHANT,RITEL,X,170,01700100XXXXXX,,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00189155|DEDDY CHANDRA D",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-30 22:23:54",2,"2025-09-29 10:23:20",2,"2025-09-29 10:23:20",2,1,1,,,,,,,,,"JL TUANKU TAMBUSAI NO 35CD","HARJOSARI KEL",SUKAJADI,"PEKANBARU KOT.",RIAU,28122,ABET/TINA,085265888886/08527XXXXXX,2023-05-29,"2025-09-03 16:43:25",6
001999122335,11015336,"KLINIK UTAMA BERSAMA",MERCHANT,RITEL,X,1099,10990103XXXXXX,,X,"KANWIL PEKANBARU",1099,"KC Pasir Pengaraian",00354521|ZULKHAIRI,X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-02 03:59:03",1,"2025-10-01 21:30:33",2,"2025-10-01 21:30:33",2,1,1,,,,,,,,,"JL.TUANKU TAMBUSAI","DS/KEL LAINNYA",RAMBAH,"ROKAN HULU KAB.",RIAU,28557,"DR.LUGA MARJONO",08122XXXXXX,2023-09-12,"2025-09-10 15:45:56",6
001999122900,11019381,"TOKO PUPUK JAYA TANI",MERCHANT,RITEL,X,668,06680100XXXXXX,,X,"KANWIL PEKANBARU",668,"KC Teluk Kuantan","00270771|DANNY PUTRA ",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-02 04:01:38",1,"2025-09-30 14:53:54",2,"2025-09-30 14:53:54",2,1,1,,,,,,,,,"DESA LUBUK KEBUN","DS/KEL LAINNYA","LOGAS TANAH DARAT","KUANTAN SINGING KAB.",RIAU,29556,"DONA ELIZA",08526XXXXXX,2021-02-23,"2025-08-20 16:09:19",6
001999123009,11019519,"TOKO LISE JAYA",MERCHANT,RITEL,X,560,05600100XXXXXX,,X,"KANWIL PEKANBARU",560,"KC Duri","00292325|FAJAR DANU MAHENDRA ",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-01 18:33:16",2,"2025-10-01 13:48:31",2,"2025-10-01 13:48:31",2,1,1,,,,,,,,,"JL. HANGTUAH","DS/KEL LAINNYA",MANDAU,"BENGKALIS KAB.",RIAU,28784,PUJITA,081288809298/08128XXXXXX,2021-02-09,"2025-09-03 11:24:46",6
001999123364,11019914,"AESKULAP HEALTH CENTRE",MERCHANT,"FMS CHAIN",X,331,03310100XXXXXX,,X,"KANWIL PEKANBARU",331,"KC Batam Nagoya","00212110|ADE CHANDRA",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-29 15:08:55",2,"2025-09-17 10:10:13",3,"2025-09-17 10:10:13",3,1,1,,,,,,,,,"KOMP. DERMAGA BLOK RF 07","BALOI KEL.",NONGSA,"BATAM KOT.","KEPULAUAN RIAU",29462,"PINGKAN FREDITA KRISTINA",081268009836/08126XXXXXX,,"2025-09-15 16:32:34",6
001999123606,11020391,"KAMPOENG NELAYAN RESTO",MERCHANT,RITEL,X,159,01590100XXXXXX,,X,"KANWIL PEKANBARU",159,"KC Dumai","00359345|DWI ANGGARAINI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-01 18:02:53",2,"2025-10-01 18:01:58",2,"2025-10-01 18:01:58",2,1,1,,,,,,,,,"JL. NELAYAN LAUT UJUNG","PANGKALAN SESAI KEL","DUMAI BARAT","DUMAI KOT.",RIAU,28824,ONITIRA,081276385555/08127XXXXXX,2023-12-29,"2025-09-16 11:46:09",6
001999124010,10777491,"RS HERMINA PEKANBARU",MERCHANT,RITEL,X,1079,10790100XXXXXX,,X,"KANWIL PEKANBARU",1079,"KC Pekanbaru Lancang Kuning","00178111|ONGKY HARYOBINAGUN",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-22 10:52:08",3,"2025-09-22 10:52:08",3,"2025-06-25 19:50:14",5,1,1,,,,,,,,,"JL TUANKU TAMBUSAI PEKANBARU","PESISIR KEL",LIMAPULUH,"PEKANBARU KOT.",RIAU,28144,HASMORO/ILHAMDI,08238XXXXXX,2022-09-16,"2025-09-22 10:52:08",6
001999125192,10866229,"TOKO A8 ELEKTRONIK & FURNITURE",MERCHANT,RITEL,X,331,03310108XXXXXX,,X,"KANWIL PEKANBARU",331,"KC Batam Nagoya","00212110|ADE CHANDRA",X,"KANWIL PEKANBARU",PVS,"PT.PRIMA VISTA SOLUSI",X,"KANWIL PEKANBARU",PVS,"PT.PRIMA VISTA SOLUSI","2025-10-02 06:15:10",1,"2025-09-12 12:49:33",4,"2025-08-21 10:48:15",5,1,1,,,,,,,,,"RUKO SAMPURNA BLOK  D NO. 3-5","SUNGAI HARAPAN KEL.",SEKUPANG,"BATAM KOT.","KEPULAUAN RIAU",29428,"BONG SUYANTO",08127XXXXXX,2023-06-07,"2025-09-12 12:50:07",6
001999125427,11024615,"TOKO MAS SINGGALANG BARU",MERCHANT,RITEL,X,175,01750106XXXXXX,,X,"KANWIL PEKANBARU",175,"KC Tembilahan","00336979|ROY ARIANDO SARAGIH",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-01 16:39:31",2,"2025-09-28 13:45:49",2,"2025-09-28 13:45:49",2,1,1,,,,,,,,,"JALAN JENDRAL SUDIRMAN","TEMBILAHAN KOTA KEL",TEMBILAHAN,"INDRAGIRI HILIR KAB.",RIAU,29212,AHMADI,08228XXXXXX,2021-07-07,"2025-09-22 13:50:56",6
001999125429,11024618,"TOKO ABAS NOFI",MERCHANT,RITEL,X,170,01700109XXXXXX,,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00189155|DEDDY CHANDRA D",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 18:15:02",2,"2025-10-01 18:15:02",2,"2025-10-01 15:17:16",2,1,1,,,,,,,,,"JL NANGKA NO 47","WONOREJO KEL",SUKAJADI,"PEKANBARU KOT.",RIAU,28125,"NOFI EFENDI",08228XXXXXX,2023-06-30,"2025-09-17 10:07:28",6
001999126054,11025881,"DARGAN CELL BUKIT BARISAN",MERCHANT,RITEL,X,1774,17740100XXXXXX,24323923.60,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00286466|LIA HANDAYANI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-22 14:04:48",3,"2025-09-10 19:26:07",4,"2025-09-10 19:26:07",4,1,1,,,,,,,,,"JL BUKIT BARISAN","TANGKERANG TIMUR KEL","BUKIT RAYA","PEKANBARU KOT.",RIAU,28289,"IMAH RAHMADANI",081378709991/08137XXXXXX,,"2025-09-07 17:24:13",6
001999126401,11030188,"TOKO TEGUH",MERCHANT,RITEL,X,619,06190100XXXXXX,,X,"KANWIL PEKANBARU",619,"KC Bagan Batu","00159351|RICO MIZPA SIMATUPANG ",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-01 17:53:35",2,"2025-09-24 14:11:54",3,"2025-09-24 14:11:54",3,1,1,,,,,,,,,"JENDERAL SUDIRMAN","DS/KEL LAINNYA","BAGAN SINEMBAH","ROKAN HILIR KAB.",RIAU,28992,"MARTIN ARDIANTA",0811XXXXXX,2021-02-26,"2025-09-15 14:52:36",6
001999127557,11031931,"GROSIR ONLINE BARANG UNIK",MERCHANT,RITEL,X,560,05600104XXXXXX,,X,"KANWIL PEKANBARU",560,"KC Duri","00292325|FAJAR DANU MAHENDRA ",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI",X,"KANWIL PEKANBARU",BGT,"PT. BRINGIN INTI TEKNOLOGI","2025-10-01 18:17:39",2,"2025-10-01 18:17:39",2,"2025-10-01 18:17:39",2,1,1,,,,,,,,,"JL GAYA BARU","DS/KEL LAINNYA",MANDAU,"BENGKALIS KAB.",RIAU,28784,"FITIYANI SIBUEA",081396758285/08139XXXXXX,2021-07-26,"2025-09-04 11:37:15",6
